Index,Longitude,Latitude,Severity,Vehicles Involved,Casualties,Date,Time,Speed Limit,Light Conditions,Weather Conditions,Road Surface Conditions,Urban or Rural,Officer Attended Scene of Accident
201250ED2M003,-4.174063,50.383645,Slight,2,2,04/03/2012,17:58,30,Daylight,Fine + High Winds,Dry,Urban,Yes
201250ED2M017,-4.174035,50.383645,Slight,2,1,08/12/2012,16:15,30,Darkness (Lights Lit),Fine,Wet / Damp,Urban,Yes
201250ED2M018,-4.178653,50.38373,Slight,2,1,14/12/2012,07:20,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2M009,-4.177885,50.383861,Serious,6,1,19/06/2012,21:50,30,Daylight,Fine,Dry,Urban,Yes
201250ED2M012,-4.178182,50.383883,Slight,2,1,22/08/2012,15:40,30,Daylight,Fine,Dry,Urban,No
201250EC2G015,-4.134888,50.384011,Slight,2,1,31/08/2012,18:45,30,Daylight,Fine,Dry,Urban,Yes
201250EC2G018,-4.134876,50.384065,Slight,2,1,22/10/2012,08:30,30,Daylight,Fine,Dry,Urban,No
201250EC2G002,-4.133888,50.384614,Slight,2,2,23/01/2012,16:32,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2I017,-4.167834,50.384948,Slight,2,1,22/10/2012,09:00,30,Daylight,Fine,Dry,Urban,Yes
201250ED2K009,-4.181914,50.385207,Serious,1,2,27/08/2012,00:46,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2F019,-4.156315,50.385298,Slight,2,1,18/10/2012,18:36,30,Daylight,Fine,Dry,Urban,Yes
201250ED2F003,-4.155767,50.385317,Slight,2,1,23/04/2012,06:30,30,Daylight,Raining,Wet / Damp,Urban,No
201250ED2N023,-4.157542,50.385383,Slight,2,1,13/08/2012,10:35,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250ED2F013,-4.157404,50.38543,Slight,2,1,27/07/2012,08:30,30,Daylight,Fine,Dry,Urban,Yes
201250ED2F021,-4.157364,50.385485,Slight,2,1,11/09/2012,11:45,30,Daylight,Fine,Dry,Urban,Yes
201250ED2E014,-4.137969,50.385591,Slight,2,1,18/07/2012,16:16,30,Daylight,Fine,Dry,Urban,Yes
201250ED2I009,-4.161134,50.386395,Slight,2,2,16/04/2012,20:58,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2I018,-4.160563,50.386532,Slight,1,1,21/11/2012,18:00,30,Darkness (Lights Lit),Fine,Wet / Damp,Urban,Yes
201250ED2I005,-4.159818,50.386537,Slight,4,1,28/02/2012,14:10,30,Daylight,Fine,Dry,Urban,Yes
201250ED2F018,-4.159483,50.386597,Slight,1,1,08/10/2012,07:30,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,No
201250EL2A005,-4.131152,50.386661,Slight,2,2,14/04/2012,16:25,30,Daylight,Fine,Dry,Urban,Yes
201250ED2E019,-4.138728,50.38681,Slight,2,1,14/11/2012,09:05,30,Daylight,Fine,Dry,Urban,Yes
201250ED2I002,-4.161068,50.386819,Slight,2,1,16/02/2012,14:45,30,Daylight,Fine,Dry,Urban,No
201250EL2C016,-4.114167,50.386863,Slight,2,1,19/10/2012,14:00,30,Daylight,Fine,Dry,Urban,Yes
201250ED2J014,-4.16086,50.386886,Slight,2,1,01/11/2012,11:17,30,Daylight,Other Weather,Wet / Damp,Urban,Yes
201250ED2J002,-4.160229,50.386925,Slight,2,1,01/03/2012,07:50,30,Daylight,Fine,Dry,Urban,No
201250ED2J006,-4.160483,50.386938,Slight,2,1,25/06/2012,14:39,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2J012,-4.1619,50.387155,Slight,2,1,29/09/2012,12:40,30,Daylight,Fine,Dry,Urban,No
201250ED2E011,-4.154919,50.387401,Slight,3,2,08/05/2012,10:38,30,Daylight,Fine,Dry,Urban,Yes
